"dates","festivities"
"2019-09-30","1st Safar"
"2019-10-29","1st Rabi ul Awal"
"2019-11-28","1st Rabi Al-Akhar"
"2019-12-27","1st Jumada Al-Awwal"
"2020-01-26","1st Jumada Al-Akhirah"
"2020-02-25","1st Rajab"
"2020-03-25","1st Shaban"
"2020-04-24","1st Ramadan"
"2020-05-24","1st Shawwal"
"2020-06-22","1st Dhul Qadah"
"2020-07-22","1st Dhul Hijjah"
"2020-08-20","1st Muharram"
"2020-09-18","1st Safar"
"2020-10-18","1st Rabi ul Awal"
"2020-11-16","1st Rabi Al-Akhar"
"2020-12-16","1st Jumada Al-Awwal"
"2021-01-14","1st Jumada Al-Akhirah"
"2021-02-13","1st Rajab"
"2021-03-14","1st Shaban"
"2021-04-13","1st Ramadan"
"2021-05-13","1st Shawwal"
"2021-06-11","1st Dhul Qadah"
"2021-07-11","1st Dhul Hijjah"
"2021-08-09","1st Muharram"
"2021-09-08","1st Safar"
"2021-10-07","1st Rabi ul Awal"
"2021-11-06","1st Rabi Al-Akhar"
"2021-12-05","1st Jumada Al-Awwal"
"2022-01-04","1st Jumada Al-Akhirah"
"2022-02-02","1st Rajab"
"2022-03-04","1st Shaban"
"2022-04-02","1st Ramadan"
"2022-05-02","1st Shawwal"
"2022-05-31","1st Dhul Qadah"
"2022-06-30","1st Dhul Hijjah"
"2022-07-30","1st Muharram"
"2022-08-28","1st Safar"
"2022-09-27","1st Rabi ul Awal"
"2022-10-26","1st Rabi Al-Akhar"
"2022-11-25","1st Jumada Al-Awwal"
"2022-12-25","1st Jumada Al-Akhirah"
"2023-01-23","1st Rajab"
"2023-02-21","1st Shaban"
"2023-03-23","1st Ramadan"
"2023-04-21","1st Shawwal"
"2023-05-21","1st Dhul Qadah"
"2023-06-19","1st Dhul Hijjah"
"2023-07-19","1st Muharram"
"2023-08-17","1st Safar"
"2023-09-16","1st Rabi ul Awal"
"2023-10-16","1st Rabi Al-Akhar"
"2023-11-15","1st Jumada Al-Awwal"
"2023-12-14","1st Jumada Al-Akhirah"
